Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1100.25,89.11666666666666,220.05,17.823333333333334,299.75,11.75,25.0,3.6,25.0,16,6.5,18.384615384615383,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1056,14858.45
1,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1117.75,89.50555555555556,223.55,17.901111111111113,393.25,71.75,25.0,3.888,25.0,16,6.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,100.7,23907.575
1,AffinitySlotting,GreedyProximityBatching,LargestGapRouting,1873.8185637161248,129.640412527025,374.76371274322497,25.928082505404998,651.3383590421129,168.07517360261875,25.0,4.208,25.0,26,7.0,20.357142857142858,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1778.2,31415.70141949967
1,AffinitySlotting,GreedyProximityBatching,HybridCombinedRouting,1149.75,92.88333333333334,229.95,18.576666666666664,361.25,123.75,25.0,3.896,25.0,23,7.0,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,515.8,10814.075
1,AffinitySlotting,SeedSavingsBatching,SideGroupedRouting,930.25,85.00555555555555,186.05,17.00111111111111,357.25,127.75,25.0,3.896,25.0,33,6.0,18.083333333333332,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,97.8,9411.95
1,AffinitySlotting,SeedSavingsBatching,SShapeRouting,920.75,72.12777777777778,184.15,14.425555555555556,349.25,105.25,25.0,3.56,25.0,21,5.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,704,10555.05
1,AffinitySlotting,SeedSavingsBatching,LargestGapRouting,1354.5745894213999,102.43499087603111,270.91491788428,20.48699817520622,491.98919219750763,91.52666940994547,25.0,3.984,25.0,33,6.0,20.333333333333332,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,266.3,32329.09585767366
1,AffinitySlotting,SeedSavingsBatching,HybridCombinedRouting,940.25,70.22777777777779,188.05,14.045555555555556,315.25,127.75,25.0,3.664,25.0,10,5.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,306.3,6480.95
1,AffinitySlotting,RoundRobinBatching,SideGroupedRouting,1124.75,99.99444444444445,224.95,19.99888888888889,239.75,211.25,25.0,4.008,25.0,34,7.75,18.548387096774192,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,380.2,182.45
1,AffinitySlotting,RoundRobinBatching,SShapeRouting,1371.75,107.81666666666666,274.35,21.563333333333333,371.25,201.75,25.0,4.008,25.0,23,7.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,380.2,3822.675
1,AffinitySlotting,RoundRobinBatching,LargestGapRouting,2114.768059437444,141.6615124319432,422.9536118874888,28.33230248638864,455.3260631585525,346.3930302696087,25.0,4.008,25.0,29,8.5,19.88235294117647,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,380.2,2238.5817707017736
1,AffinitySlotting,RoundRobinBatching,HybridCombinedRouting,1427.75,105.72777777777777,285.55,21.145555555555553,373.75,217.75,25.0,4.008,25.0,35,7.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,380.2,3363.075
