side_id,section,tote_id
A001,A001-AA,A001-AA-001
A001,A001-AA,A001-AA-002
A001,A001-AA,A001-AA-003
A001,A001-AA,A001-AA-011
A001,A001-AA,A001-AA-012
A001,A001-AA,A001-AA-013
A001,A001-AA,A001-AA-021
A001,A001-AA,A001-AA-022
A001,A001-AA,A001-AA-023
A001,A001-AA,A001-AA-031
A001,A001-AA,A001-AA-032
A001,A001-AA,A001-AA-033
A001,A001-AA,A001-AA-041
A001,A001-AA,A001-AA-042
A001,A001-AA,A001-AA-043
A001,A001-AA,A001-AA-051
A001,A001-AA,A001-AA-052
A001,A001-AA,A001-AA-053
A001,A001-AB,A001-AB-001
A001,A001-AB,A001-AB-002
A001,A001-AB,A001-AB-003
A001,A001-AB,A001-AB-011
A001,A001-AB,A001-AB-012
A001,A001-AB,A001-AB-013
A001,A001-AB,A001-AB-021
A001,A001-AB,A001-AB-022
A001,A001-AB,A001-AB-023
A001,A001-AB,A001-AB-031
A001,A001-AB,A001-AB-032
A001,A001-AB,A001-AB-033
A001,A001-AB,A001-AB-041
A001,A001-AB,A001-AB-042
A001,A001-AB,A001-AB-043
A001,A001-AB,A001-AB-051
A001,A001-AB,A001-AB-052
A001,A001-AB,A001-AB-053
A001,A001-AC,A001-AC-001
A001,A001-AC,A001-AC-002
A001,A001-AC,A001-AC-003
A001,A001-AC,A001-AC-011
A001,A001-AC,A001-AC-012
A001,A001-AC,A001-AC-013
A001,A001-AC,A001-AC-021
A001,A001-AC,A001-AC-022
A001,A001-AC,A001-AC-023
A001,A001-AC,A001-AC-031
A001,A001-AC,A001-AC-032
A001,A001-AC,A001-AC-033
A001,A001-AC,A001-AC-041
A001,A001-AC,A001-AC-042
A001,A001-AC,A001-AC-043
A001,A001-AC,A001-AC-051
A001,A001-AC,A001-AC-052
A001,A001-AC,A001-AC-053
A001,A001-AD,A001-AD-001
A001,A001-AD,A001-AD-002
A001,A001-AD,A001-AD-003
A001,A001-AD,A001-AD-011
A001,A001-AD,A001-AD-012
A001,A001-AD,A001-AD-013
A001,A001-AD,A001-AD-021
A001,A001-AD,A001-AD-022
A001,A001-AD,A001-AD-023
A001,A001-AD,A001-AD-031
A001,A001-AD,A001-AD-032
A001,A001-AD,A001-AD-033
A001,A001-AD,A001-AD-041
A001,A001-AD,A001-AD-042
A001,A001-AD,A001-AD-043
A001,A001-AD,A001-AD-051
A001,A001-AD,A001-AD-052
A001,A001-AD,A001-AD-053
A001,A001-AE,A001-AE-001
A001,A001-AE,A001-AE-002
A001,A001-AE,A001-AE-003
A001,A001-AE,A001-AE-011
A001,A001-AE,A001-AE-012
A001,A001-AE,A001-AE-013
A001,A001-AE,A001-AE-021
A001,A001-AE,A001-AE-022
A001,A001-AE,A001-AE-023
A001,A001-AE,A001-AE-031
A001,A001-AE,A001-AE-032
A001,A001-AE,A001-AE-033
A001,A001-AE,A001-AE-041
A001,A001-AE,A001-AE-042
A001,A001-AE,A001-AE-043
A001,A001-AE,A001-AE-051
A001,A001-AE,A001-AE-052
A001,A001-AE,A001-AE-053
A001,A001-AF,A001-AF-001
A001,A001-AF,A001-AF-002
A001,A001-AF,A001-AF-003
A001,A001-AF,A001-AF-011
A001,A001-AF,A001-AF-012
A001,A001-AF,A001-AF-013
A001,A001-AF,A001-AF-021
A001,A001-AF,A001-AF-022
A001,A001-AF,A001-AF-023
A001,A001-AF,A001-AF-031
A001,A001-AF,A001-AF-032
A001,A001-AF,A001-AF-033
A001,A001-AF,A001-AF-041
A001,A001-AF,A001-AF-042
A001,A001-AF,A001-AF-043
A001,A001-AF,A001-AF-051
A001,A001-AF,A001-AF-052
A001,A001-AF,A001-AF-053
A001,A001-AG,A001-AG-001
A001,A001-AG,A001-AG-002
A001,A001-AG,A001-AG-003
A001,A001-AG,A001-AG-011
A001,A001-AG,A001-AG-012
A001,A001-AG,A001-AG-013
A001,A001-AG,A001-AG-021
A001,A001-AG,A001-AG-022
A001,A001-AG,A001-AG-023
A001,A001-AG,A001-AG-031
A001,A001-AG,A001-AG-032
A001,A001-AG,A001-AG-033
A001,A001-AG,A001-AG-041
A001,A001-AG,A001-AG-042
A001,A001-AG,A001-AG-043
A001,A001-AG,A001-AG-051
A001,A001-AG,A001-AG-052
A001,A001-AG,A001-AG-053
A001,A001-AH,A001-AH-001
A001,A001-AH,A001-AH-002
A001,A001-AH,A001-AH-003
A001,A001-AH,A001-AH-011
A001,A001-AH,A001-AH-012
A001,A001-AH,A001-AH-013
A001,A001-AH,A001-AH-021
A001,A001-AH,A001-AH-022
A001,A001-AH,A001-AH-023
A001,A001-AH,A001-AH-031
A001,A001-AH,A001-AH-032
A001,A001-AH,A001-AH-033
A001,A001-AH,A001-AH-041
A001,A001-AH,A001-AH-042
A001,A001-AH,A001-AH-043
A001,A001-AH,A001-AH-051
A001,A001-AH,A001-AH-052
A001,A001-AH,A001-AH-053
A001,A001-AI,A001-AI-001
A001,A001-AI,A001-AI-002
A001,A001-AI,A001-AI-003
A001,A001-AI,A001-AI-011
A001,A001-AI,A001-AI-012
A001,A001-AI,A001-AI-013
A001,A001-AI,A001-AI-021
A001,A001-AI,A001-AI-022
A001,A001-AI,A001-AI-023
A001,A001-AI,A001-AI-031
A001,A001-AI,A001-AI-032
A001,A001-AI,A001-AI-033
A001,A001-AI,A001-AI-041
A001,A001-AI,A001-AI-042
A001,A001-AI,A001-AI-043
A001,A001-AI,A001-AI-051
A001,A001-AI,A001-AI-052
A001,A001-AI,A001-AI-053
A001,A001-AJ,A001-AJ-001
A001,A001-AJ,A001-AJ-002
A001,A001-AJ,A001-AJ-003
A001,A001-AJ,A001-AJ-011
A001,A001-AJ,A001-AJ-012
A001,A001-AJ,A001-AJ-013
A001,A001-AJ,A001-AJ-021
A001,A001-AJ,A001-AJ-022
A001,A001-AJ,A001-AJ-023
A001,A001-AJ,A001-AJ-031
A001,A001-AJ,A001-AJ-032
A001,A001-AJ,A001-AJ-033
A001,A001-AJ,A001-AJ-041
A001,A001-AJ,A001-AJ-042
A001,A001-AJ,A001-AJ-043
A001,A001-AJ,A001-AJ-051
A001,A001-AJ,A001-AJ-052
A001,A001-AJ,A001-AJ-053
A002,A002-AA,A002-AA-001
A002,A002-AA,A002-AA-002
A002,A002-AA,A002-AA-003
A002,A002-AA,A002-AA-011
A002,A002-AA,A002-AA-012
A002,A002-AA,A002-AA-013
A002,A002-AA,A002-AA-021
A002,A002-AA,A002-AA-022
A002,A002-AA,A002-AA-023
A002,A002-AA,A002-AA-031
A002,A002-AA,A002-AA-032
A002,A002-AA,A002-AA-033
A002,A002-AA,A002-AA-041
A002,A002-AA,A002-AA-042
A002,A002-AA,A002-AA-043
A002,A002-AA,A002-AA-051
A002,A002-AA,A002-AA-052
A002,A002-AA,A002-AA-053
A002,A002-AB,A002-AB-001
A002,A002-AB,A002-AB-002
A002,A002-AB,A002-AB-003
