order_id,order_timestamp,sku_id,quantity,tote_id,side_id,section
500000,2025-09-01 13:35:05,101309,1,A006-AE-053,A006,A006-AE
500000,2025-09-01 13:35:05,100013,3,A005-AA-023,A005,A005-AA
500000,2025-09-01 13:35:05,102341,1,A011-AE-032,A011,A011-AE
500001,2025-09-01 14:09:05,100905,1,A018-AE-001,A018,A018-AE
500001,2025-09-01 14:09:05,100181,4,A010-AD-021,A010,A010-AD
500001,2025-09-01 14:09:05,100230,1,A012-AJ-022,A012,A012-AJ
500001,2025-09-01 14:09:05,100001,1,A020-AB-053,A020,A020-AB
500002,2025-09-01 14:12:05,100000,1,A007-AH-042,A007,A007-AH
500002,2025-09-01 14:12:05,100693,3,A017-AJ-002,A017,A017-AJ
500002,2025-09-01 14:12:05,100018,2,A006-AJ-013,A006,A006-AJ
500003,2025-09-01 14:48:05,100215,1,A020-AA-023,A020,A020-AA
500003,2025-09-01 14:48:05,100032,2,A001-AJ-041,A001,A001-AJ
500004,2025-09-01 14:51:05,100001,1,A020-AB-053,A020,A020-AB
500004,2025-09-01 14:51:05,100002,1,A017-AJ-033,A017,A017-AJ
500004,2025-09-01 14:51:05,100001,3,A020-AB-053,A020,A020-AB
500005,2025-09-01 15:46:05,100069,2,A016-AG-051,A016,A016-AG
500005,2025-09-01 15:46:05,100049,3,A008-AF-023,A008,A008-AF
500006,2025-09-01 16:09:05,100016,1,A019-AH-022,A019,A019-AH
500006,2025-09-01 16:09:05,100071,2,A020-AE-023,A020,A020-AE
500007,2025-09-01 16:17:05,100116,3,A004-AJ-003,A004,A004-AJ
500007,2025-09-01 16:17:05,100010,4,A020-AH-002,A020,A020-AH
500007,2025-09-01 16:17:05,100045,1,A015-AB-022,A015,A015-AB
500007,2025-09-01 16:17:05,100002,1,A017-AJ-033,A017,A017-AJ
500007,2025-09-01 16:17:05,100115,2,A003-AG-032,A003,A003-AG
500007,2025-09-01 16:17:05,100007,1,A011-AF-013,A011,A011-AF
500008,2025-09-01 18:46:05,100008,2,A011-AH-022,A011,A011-AH
500008,2025-09-01 18:46:05,100000,1,A007-AH-042,A007,A007-AH
500008,2025-09-01 18:46:05,102355,1,A017-AB-032,A017,A017-AB
500009,2025-09-01 19:14:05,100000,1,A007-AH-042,A007,A007-AH
500009,2025-09-01 19:14:05,100515,2,A015-AC-041,A015,A015-AC
500009,2025-09-01 19:14:05,100000,3,A007-AH-042,A007,A007-AH
500009,2025-09-01 19:14:05,100321,1,A018-AF-022,A018,A018-AF
500009,2025-09-01 19:14:05,100000,1,A007-AH-042,A007,A007-AH
500010,2025-09-01 19:56:05,100000,1,A007-AH-042,A007,A007-AH
500010,2025-09-01 19:56:05,100122,2,A003-AB-003,A003,A003-AB
500010,2025-09-01 19:56:05,100047,2,A003-AJ-021,A003,A003-AJ
500010,2025-09-01 19:56:05,100004,3,A010-AF-011,A010,A010-AF
500011,2025-09-01 20:00:05,100185,1,A020-AJ-043,A020,A020-AJ
500011,2025-09-01 20:00:05,100008,1,A011-AH-022,A011,A011-AH
500011,2025-09-01 20:00:05,100042,1,A010-AC-002,A010,A010-AC
500012,2025-09-01 21:06:05,101423,2,A002-AF-022,A002,A002-AF
500012,2025-09-01 21:06:05,100218,2,A005-AF-053,A005,A005-AF
500012,2025-09-01 21:06:05,100004,3,A010-AF-011,A010,A010-AF
500012,2025-09-01 21:06:05,100021,3,A006-AJ-041,A006,A006-AJ
500013,2025-09-01 22:37:05,100001,2,A020-AB-053,A020,A020-AB
500013,2025-09-01 22:37:05,100004,1,A010-AF-011,A010,A010-AF
500014,2025-09-02 00:17:05,100004,1,A010-AF-011,A010,A010-AF
500014,2025-09-02 00:17:05,100496,3,A010-AB-031,A010,A010-AB
500014,2025-09-02 00:17:05,100006,3,A012-AE-001,A012,A012-AE
500015,2025-09-02 00:43:05,101621,1,A019-AE-023,A019,A019-AE
500015,2025-09-02 00:43:05,100000,3,A007-AH-042,A007,A007-AH
500015,2025-09-02 00:43:05,103044,3,A015-AF-053,A015,A015-AF
500016,2025-09-02 01:47:05,100048,2,A014-AD-033,A014,A014-AD
500016,2025-09-02 01:47:05,100005,1,A008-AB-013,A008,A008-AB
500016,2025-09-02 01:47:05,100142,1,A011-AJ-051,A011,A011-AJ
500017,2025-09-02 02:16:05,100847,2,A012-AG-032,A012,A012-AG
500018,2025-09-02 03:21:05,100011,5,A002-AE-013,A002,A002-AE
500018,2025-09-02 03:21:05,100001,1,A020-AB-053,A020,A020-AB
500019,2025-09-02 03:27:05,100000,1,A007-AH-042,A007,A007-AH
500019,2025-09-02 03:27:05,100017,4,A003-AE-042,A003,A003-AE
500020,2025-09-02 03:38:05,100021,1,A006-AJ-041,A006,A006-AJ
500020,2025-09-02 03:38:05,100002,3,A017-AJ-033,A017,A017-AJ
500020,2025-09-02 03:38:05,100010,1,A020-AH-002,A020,A020-AH
500021,2025-09-02 05:09:05,100798,1,A017-AJ-011,A017,A017-AJ
500021,2025-09-02 05:09:05,100001,1,A020-AB-053,A020,A020-AB
500021,2025-09-02 05:09:05,101663,2,A018-AF-001,A018,A018-AF
500021,2025-09-02 05:09:05,100382,2,A016-AJ-031,A016,A016-AJ
500021,2025-09-02 05:09:05,100000,2,A007-AH-042,A007,A007-AH
500021,2025-09-02 05:09:05,100000,2,A007-AH-042,A007,A007-AH
500022,2025-09-02 05:48:05,100001,3,A020-AB-053,A020,A020-AB
500022,2025-09-02 05:48:05,100000,1,A007-AH-042,A007,A007-AH
500022,2025-09-02 05:48:05,100573,1,A007-AB-011,A007,A007-AB
500022,2025-09-02 05:48:05,100000,1,A007-AH-042,A007,A007-AH
500022,2025-09-02 05:48:05,100346,1,A002-AB-021,A002,A002-AB
500022,2025-09-02 05:48:05,100000,1,A007-AH-042,A007,A007-AH
500023,2025-09-02 05:55:05,100007,3,A011-AF-013,A011,A011-AF
500024,2025-09-02 06:04:05,100023,4,A007-AH-043,A007,A007-AH
500024,2025-09-02 06:04:05,100005,2,A008-AB-013,A008,A008-AB
500025,2025-09-02 06:06:05,100011,4,A002-AE-013,A002,A002-AE
500026,2025-09-02 06:26:05,100027,2,A010-AC-043,A010,A010-AC
500026,2025-09-02 06:26:05,100004,4,A010-AF-011,A010,A010-AF
500027,2025-09-02 06:37:05,100183,1,A010-AG-033,A010,A010-AG
500027,2025-09-02 06:37:05,100741,2,A004-AA-023,A004,A004-AA
500027,2025-09-02 06:37:05,100006,2,A012-AE-001,A012,A012-AE
500027,2025-09-02 06:37:05,100006,1,A012-AE-001,A012,A012-AE
500028,2025-09-02 06:45:05,100000,2,A007-AH-042,A007,A007-AH
500028,2025-09-02 06:45:05,100000,1,A007-AH-042,A007,A007-AH
