Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,649.75,62.77222222222222,129.95,12.554444444444444,305.25,9.75,25.0,3.384,25.0,20,5.75,16.82608695652174,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1932.8,16437.575
2,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1354.75,113.43888888888888,270.95,22.68777777777778,353.25,143.25,25.0,4.648,25.0,42,8.0,17.8125,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2821.2,6473.95
3,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,855.75,79.35,171.15,15.870000000000001,311.25,51.75,25.0,3.696,25.0,30,6.75,13.74074074074074,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1462.8,13401.675
4,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1175.75,101.46111111111112,235.15,20.29222222222222,331.25,159.25,25.0,4.424,25.0,33,7.25,15.068965517241379,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1587.3,5449.675
5,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1170.75,97.68333333333332,234.15,19.536666666666665,315.25,127.75,25.0,3.2,25.0,28,7.0,16.428571428571427,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2027,6928.55
6,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1062.25,92.93888888888888,212.45,18.587777777777777,277.75,103.75,25.0,3.552,25.0,18,6.5,16.76923076923077,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2148.2,5256.95
7,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1041.25,89.47222222222221,208.25,17.894444444444442,297.75,139.25,25.0,3.248,25.0,20,6.75,17.814814814814813,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,715.2,5427.875
8,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1244.75,98.32777777777778,248.95,19.665555555555557,289.25,231.75,25.0,2.712,25.0,23,8.0,18.625,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1812.7,548.45
9,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1137.25,93.9388888888889,227.45,18.78777777777778,303.75,61.75,25.0,3.568,25.0,23,6.75,18.77777777777778,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1216.2,10335.575
10,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1253.75,100.8611111111111,250.75,20.17222222222222,293.25,161.75,25.0,4.064,25.0,25,7.75,20.225806451612904,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1151.8,2675.375
1,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1068.75,88.41666666666667,213.75,17.683333333333334,327.25,157.75,25.0,4.112,25.0,20,6.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1084.2,5946.75
2,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1267.25,96.49444444444444,253.45,19.298888888888886,415.25,153.75,25.0,4.208,25.0,30,7.0,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2568.2,12236.075
3,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1513.25,112.62777777777777,302.65,22.525555555555556,415.25,87.75,25.0,3.976,25.0,27,7.0,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1345.8,20375.675
4,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1445.25,113.45,289.05,22.69,327.25,231.75,25.0,4.568,25.0,30,7.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2919.7,1438.075
5,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1412.25,107.38333333333334,282.45,21.476666666666667,393.25,187.75,25.0,3.8,25.0,29,8.0,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,936,8415.45
6,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1229.25,95.98333333333333,245.85,19.196666666666665,305.25,171.75,25.0,3.28,25.0,19,6.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,967,4637.675
7,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1171.25,92.36111111111111,234.25,18.472222222222225,393.25,161.25,25.0,3.272,25.0,26,7.0,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,574.2,9455.875
8,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1562.75,117.39444444444443,312.55,23.478888888888886,411.75,191.25,25.0,2.92,25.0,22,8.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,793,6259.95
9,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1091.25,82.25,218.25,16.45,305.25,157.75,25.0,3.344,25.0,31,6.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,703.8,4834.875
10,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1404.75,103.55,280.95,20.709999999999997,393.25,195.25,25.0,3.84,25.0,30,8.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1149.5,8012.45
1,AffinitySlotting,GreedyProximityBatching,LargestGapRouting,1818.4485391624771,126.74330087027725,363.6897078324954,25.348660174055453,524.3987113542742,113.56949251795338,25.0,3.616,25.0,24,6.5,19.923076923076923,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,456.8,29451.62754992985
2,AffinitySlotting,GreedyProximityBatching,LargestGapRouting,2295.9635372151997,154.35474527144888,459.1927074430399,30.870949054289778,584.8292324666636,146.53803157927624,25.0,4.8,25.0,37,7.25,20.448275862068964,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,4224,34271.86514346406
3,AffinitySlotting,GreedyProximityBatching,LargestGapRouting,2536.3330123588617,165.36295583019694,507.26660247177233,33.07259116603939,605.5616896321674,339.0781863905831,25.0,3.576,25.0,21,7.75,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1054.8,14298.458841237163
4,AffinitySlotting,GreedyProximityBatching,LargestGapRouting,1624.102114756382,113.75782477236405,324.8204229512764,22.75156495447281,582.8040345162767,184.80333881989094,25.0,4.248,25.0,26,6.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1238.7,31791.92381049958
